pybullet build time: Mar 29 2026 16:48:40
Device: cuda

[URDFGraphBuilder] anymal_stripped.urdf
  Nodes            : 13  (body + 12 joints)
  Edges            : 24  (bidirectional)
  Node feature dim : 13  (static 11 + runtime 2)
  Edge feature dim : 4
  Action dim       : 12  (one torque per controllable joint)
  Joint order      : ['LF_HAA', 'LF_HFE', 'LF_KFE', 'LH_HAA', 'LH_HFE', 'LH_KFE', 'RF_HAA', 'RF_HFE', 'RF_KFE', 'RH_HAA', 'RH_HFE', 'RH_KFE']

Loading checkpoint: /kaggle/working/checkpoints/gnn_ppo_800768.pt
Resumed from step 800768

Agent parameters: 51,086
Rollout steps: 2048 | Minibatch size: 64
Total updates: 781

step=  802816 | ep_rew=-2218.33 | ep_len=   872 | pg= 0.0114 | vf=468.4851 | ent=11.2716 | clip=0.382 | sps=39523
step=  804864 | ep_rew=-2535.24 | ep_len=   936 | pg= 0.0032 | vf=833.7186 | ent=11.3152 | clip=0.316 | sps=20136
step=  806912 | ep_rew=-2388.70 | ep_len=   870 | pg=-0.0052 | vf=573.1616 | ent=11.3619 | clip=0.257 | sps=13570
step=  808960 | ep_rew=-2389.68 | ep_len=   902 | pg=-0.0034 | vf=929.0072 | ent=11.4022 | clip=0.253 | sps=10254
step=  811008 | ep_rew=-2495.94 | ep_len=   929 | pg=-0.0050 | vf=634.7540 | ent=11.4321 | clip=0.239 | sps=8259
step=  813056 | ep_rew=-2586.66 | ep_len=   940 | pg=-0.0048 | vf=863.9860 | ent=11.4518 | clip=0.232 | sps=6926
step=  815104 | ep_rew=-2614.64 | ep_len=   948 | pg=-0.0043 | vf=749.9298 | ent=11.4778 | clip=0.238 | sps=5969
step=  817152 | ep_rew=-2545.77 | ep_len=   954 | pg=-0.0106 | vf=325.2978 | ent=11.5213 | clip=0.209 | sps=5242
step=  819200 | ep_rew=-2588.12 | ep_len=   959 | pg=-0.0028 | vf=859.0895 | ent=11.5708 | clip=0.228 | sps=4680
step=  821248 | ep_rew=-2607.04 | ep_len=   961 | pg=-0.0011 | vf=691.4320 | ent=11.6114 | clip=0.223 | sps=4224
step=  823296 | ep_rew=-2623.99 | ep_len=   974 | pg=-0.0058 | vf=475.1765 | ent=11.6329 | clip=0.244 | sps=3859
step=  825344 | ep_rew=-2478.49 | ep_len=   945 | pg=-0.0083 | vf=749.7834 | ent=11.6403 | clip=0.224 | sps=3549
step=  827392 | ep_rew=-2548.82 | ep_len=   944 | pg=-0.0062 | vf=554.4843 | ent=11.6508 | clip=0.195 | sps=3290
step=  829440 | ep_rew=-2550.46 | ep_len=   944 | pg=-0.0068 | vf=728.4290 | ent=11.6797 | clip=0.219 | sps=3068
step=  831488 | ep_rew=-2493.83 | ep_len=   924 | pg=-0.0043 | vf=965.9458 | ent=11.7137 | clip=0.217 | sps=2869
step=  833536 | ep_rew=-2487.71 | ep_len=   924 | pg=-0.0023 | vf=663.5597 | ent=11.7510 | clip=0.183 | sps=2699
step=  835584 | ep_rew=-2606.38 | ep_len=   924 | pg=-0.0057 | vf=1026.7730 | ent=11.7773 | clip=0.188 | sps=2548
step=  837632 | ep_rew=-2573.35 | ep_len=   915 | pg=-0.0041 | vf=647.2484 | ent=11.8063 | clip=0.209 | sps=2413
step=  839680 | ep_rew=-2559.13 | ep_len=   915 | pg=-0.0007 | vf=493.1503 | ent=11.8369 | clip=0.187 | sps=2291
step=  841728 | ep_rew=-2602.22 | ep_len=   915 | pg=-0.0053 | vf=756.6951 | ent=11.8614 | clip=0.180 | sps=2182
step=  843776 | ep_rew=-2735.07 | ep_len=   944 | pg=-0.0029 | vf=807.3757 | ent=11.8960 | clip=0.178 | sps=2084
step=  845824 | ep_rew=-2670.38 | ep_len=   932 | pg=-0.0033 | vf=699.1363 | ent=11.9308 | clip=0.186 | sps=1994
step=  847872 | ep_rew=-2761.70 | ep_len=   959 | pg=-0.0090 | vf=697.0593 | ent=11.9500 | clip=0.202 | sps=1912
step=  849920 | ep_rew=-2733.14 | ep_len=   969 | pg=-0.0053 | vf=562.6969 | ent=11.9679 | clip=0.203 | sps=1835
step=  851968 | ep_rew=-2765.24 | ep_len=   969 | pg=-0.0040 | vf=947.7204 | ent=12.0023 | clip=0.188 | sps=1766
  Checkpoint saved: ./checkpoints/gnn_ppo_851968.pt
step=  854016 | ep_rew=-2707.57 | ep_len=   963 | pg=-0.0057 | vf=556.1051 | ent=12.0424 | clip=0.207 | sps=1702
step=  856064 | ep_rew=-2730.73 | ep_len=   968 | pg=-0.0022 | vf=806.9895 | ent=12.0653 | clip=0.188 | sps=1644
step=  858112 | ep_rew=-2690.63 | ep_len=   949 | pg=-0.0053 | vf=699.4748 | ent=12.0946 | clip=0.136 | sps=1589
step=  860160 | ep_rew=-2732.54 | ep_len=   949 | pg=-0.0055 | vf=999.8516 | ent=12.1308 | clip=0.194 | sps=1538
step=  862208 | ep_rew=-2635.92 | ep_len=   949 | pg=-0.0071 | vf=477.9693 | ent=12.1612 | clip=0.190 | sps=1491
step=  864256 | ep_rew=-2687.82 | ep_len=   949 | pg=-0.0043 | vf=1036.7199 | ent=12.1925 | clip=0.182 | sps=1446
step=  866304 | ep_rew=-2696.02 | ep_len=   940 | pg=-0.0110 | vf=778.6739 | ent=12.2244 | clip=0.209 | sps=1403
step=  868352 | ep_rew=-2705.65 | ep_len=   934 | pg=-0.0011 | vf=1616.8510 | ent=12.2481 | clip=0.247 | sps=1363
step=  870400 | ep_rew=-2772.96 | ep_len=   915 | pg=-0.0096 | vf=888.8782 | ent=12.2565 | clip=0.221 | sps=1326
step=  872448 | ep_rew=-2860.83 | ep_len=   921 | pg=-0.0053 | vf=1132.5195 | ent=12.2711 | clip=0.241 | sps=1291
step=  874496 | ep_rew=-2847.12 | ep_len=   925 | pg=-0.0042 | vf=662.0699 | ent=12.2972 | clip=0.147 | sps=1259
step=  876544 | ep_rew=-2891.55 | ep_len=   922 | pg=-0.0055 | vf=1102.5975 | ent=12.3359 | clip=0.161 | sps=1227
step=  878592 | ep_rew=-2847.45 | ep_len=   920 | pg= 0.0008 | vf=761.4393 | ent=12.3628 | clip=0.223 | sps=1197
step=  880640 | ep_rew=-3012.77 | ep_len=   917 | pg=-0.0064 | vf=1342.6356 | ent=12.3800 | clip=0.224 | sps=1169
step=  882688 | ep_rew=-2839.96 | ep_len=   871 | pg=-0.0055 | vf=775.4371 | ent=12.4047 | clip=0.162 | sps=1142
step=  884736 | ep_rew=-2958.19 | ep_len=   909 | pg=-0.0071 | vf=849.3052 | ent=12.4390 | clip=0.190 | sps=1116
